cluster_21	Arnt,Ahr::Arnt,HES7,Creb3l2,ARNT::HIF1A,Mlxip,HIF1A,CLOCK,MAX::MYC,MYC,MYCN,BHLHE40,ARNT2,MLX,MLXIPL,TFEB,TFE3,BHLHE41,HES6,HES1,HEY2,HES2,HEY1,HES5,SOHLH2,Npas2,MAX,MNT,USF2,TFEC,Arntl,CREB3L4,XBP1,CREB3,CREB3L1,ATF6,MITF,USF1,SREBF1,SREBF2
cluster_22	Hmx1,Hmx2,Hmx3,Lhx1,Arx,Alx4,Alx1
cluster_23	PAX6,PAX2,PAX1,PAX9
cluster_24	LIN54,Pou5f1::Sox2,POU2F1::SOX2,POU3F4,POU5F1B,POU1F1,POU5F1,POU3F3,POU3F1,POU3F2,POU2F1,POU2F3,POU2F2
cluster_25	RFX1,RFX3,RFX2,RFX5,RFX7,Rfx6,RFX4
cluster_26	DMRT3,DMRTC2,DMRTA2,DMRTA1
cluster_27	KLF17,KLF13,KLF9,Wt1,EGR2,EGR1,EGR3,EGR4,VEZF1,ZNF263,SP5,KLF3,KLF2,KLF6,KLF16,KLF11,SP3,SP8,SP9,KLF5,KLF7,KLF1,SP1,SP4,SP2,KLF14,KLF12,KLF10,KLF15,PATZ1,ZNF740,KLF4,MAZ,ZNF148,ZNF281
cluster_28	NFIB,NFIC::TLX1,NFIC,NFIX
cluster_29	FOXH1,DPRX,RHOXF1,OTX1,PITX1,PITX2,OTX2,PITX3,Crx,GSC,GSC2
cluster_30	MEF2B,MEF2D,MEF2C,MEF2A
cluster_31	RARA::RXRG,RARA::RXRA,RARA,Rarb
cluster_32	ZNF682,RELB,MZF1,NFKB1,NFKB2,REL,RELA
cluster_33	TFCP2,GRHL1,GRHL2,SIX2,SIX1,Six4
cluster_34	PBX3,PKNOX1,MEIS1,MEIS2,MEIS3
cluster_35	ONECUT2,PAX3,CUX2,CUX1
cluster_36	ZBTB7B,ZBTB7C,Gli1,Gli2
cluster_37	SCRT1,SCRT2
cluster_38	PHOX2B,DUXA,DUX4,PHOX2A,PROP1
cluster_39	ESRRA,Nr5A2,NR6A1,NR5A1,RORB,RORA,RORC,Nr2e1,NR1I3,Vdr,RORA,NR4A2,NR2C1,NR2C2,NR2F1,NR4A1,Esrrg,ESRRB,Nr1H4,NR2F2,Nr1H2
cluster_40	ETV5::FIGLA,TFAP4::FLI1,ERF::FIGLA,ETV2::FIGLA,TFAP4::ETV1
cluster_41	POU4F1,POU4F2,POU4F3,BARX2,HNF1A,HNF1B,PBX1,MEIS2,MEIS1,PBX2,ONECUT3,ONECUT1,Lhx3,Pax7
cluster_42	ZIM3,IRF3,IRF7,IRF9,IRF4,IRF8,IRF5,Stat2,Irf1,STAT1::STAT2,IRF2,IRF6,ZBED2
cluster_43	Stat6,BCL6B,BCL6,Stat5b,Stat4,Stat5a::Stat5b,Stat5a,STAT1,STAT3
cluster_44	Nfatc2,Nfat5,Nfatc1,NFATC3,NFATC4,RBPJ,ZNF75D
cluster_45	SATB1,ZNF384,HOXB13,CDX2,Hoxa13,Hoxd13,CDX1,HOXD9,HOXA10,CDX4
cluster_46	ZIC1,ZIC4,ZIC5,GLIS2,GLIS3,GLIS1,GLI3
cluster_47	NR1D1,NR1D2,RARA,Rarb,Nr2F6,Rarg
cluster_48	MYBL2,MYBL1,OVOL1,OVOL2
cluster_49	HIC2,Hic1,NFIC,NFIA,NFIX,ZNF416,THAP1
cluster_50	TP53,TP63,TP73
cluster_51	MAFF,Mafb,NRL
cluster_52	GCM1,GCM2
cluster_53	ZNF417,E2F1,E2F4,E2F2,E2F3,YY2,TFDP1,E2F6,E2F7,E2F8
cluster_54	MSANTD3,NKX2-2,NKX2-5,Nkx3-2,Nkx2-1,NKX2-8,NKX2-4,ISL2,NKX2-3,Nkx3-1
cluster_55	Gfi1B,GFI1
cluster_56	OSR1,OSR2,ZNF317,Zic2,Zic1::Zic2,Zic3
cluster_57	ZNF708,ZNF341,ZNF189
cluster_58	THRA,Nr1h3::Rxra,Rarg,THRB
cluster_59	PPARG,ESR1,ESR2
cluster_60	RUNX2,Bcl11B,Runx1,RUNX3
cluster_61	RXRA::VDR,NR1I2
cluster_62	INSM1,CTCFL,Plagl1,PLAGL2,ZNF692
cluster_63	ZNF143,ZNF76
cluster_64	Zfp335,Hand1::Tcf3,SMAD2
cluster_65	ZNF135,ZNF460
cluster_66	ZKSCAN1,ZNF784
cluster_67	Nrf1,TCFL5,ZBTB14
cluster_68	ZNF85,Dux
cluster_69	ZBED1,ZBTB33
cluster_70	ZNF8,ZNF211
cluster_71	ZNF16,ZNF324
cluster_72	ZNF136
cluster_73	ZNF680
cluster_74	ZNF257,ZKSCAN5
cluster_75	NHLH2,ZNF93
cluster_76	CTCF,CTCF,CTCF
cluster_77	ZNF610,ZNF574
cluster_78	PRDM9,ZNF320
cluster_79	Zfx
cluster_80	ZFP14
cluster_81	HMBOX1,ZNF652
cluster_82	PLAG1
cluster_83	ZBTB6
cluster_84	Msgn1,ZFP42,Yy1
cluster_85	Spz1
cluster_86	ZNF549
cluster_87	PROX1
cluster_88	ZNF410
cluster_89	ZNF282
cluster_90	EWSR1-FLI1,ZNF24
cluster_91	PAX3
cluster_92	ZNF449
cluster_93	Prdm14
cluster_94	Prdm5
cluster_95	TBP,ZNF354A
cluster_96	ERF::NHLH1
cluster_97	Arid3a
cluster_98	ZNF331
cluster_99	ZNF530
cluster_100	ZNF701
cluster_101	Arid5a
cluster_102	ZFP57
cluster_103	ZNF528
cluster_104	ZNF768
cluster_105	Six3
cluster_106	Gmeb1
cluster_107	ZNF675
cluster_108	Dmbx1
cluster_109	Prdm15
cluster_110	Nr2e3,Foxn1
cluster_111	ZNF140
cluster_112	ZNF816
cluster_113	PRDM1
cluster_114	ZNF274
cluster_115	Rhox11
cluster_116	HINFP
cluster_117	SRF
cluster_118	ZNF214
cluster_119	Tfcp2l1
cluster_120	GATA1::TAL1
cluster_121	ZNF382,Thap11
cluster_122	ZNF667
cluster_123	ZNF454
cluster_124	ZBTB32
cluster_125	MTF1
cluster_126	ZNF343
cluster_127	Prdm4
cluster_128	ZNF707
cluster_129	ZNF418
cluster_130	ZNF582
cluster_131	ZNF354C
cluster_132	ZSCAN4
cluster_133	ZSCAN31
cluster_134	REST
cluster_135	RREB1
cluster_136	THRB
cluster_137	ZKSCAN3
